id,name,code_prefix_start,code_prefix_end
1,DÖNEN VARLIKLAR,1,1
10,HAZIR DE_ERLER,10,10
100,KASA,100,100
101,ALINAN ÇEKLER,101,101
102,BANKALAR,102,102
103,VER_LEN ÇEK ve ÖDEME EMR_ (-),103,103
108,D__ER HAZIR DE_ERLER,108,108
11,MENKUL KIYMETLER,11,11
110,H_SSE SENETLER_,110,110
111,ÖZEL KES_M TAHV_L SNT.VE BONO.,111,111
112,KAMU KES_M_ TAHV_L SNT.VE BONO,112,112
12,T_CAR_ BORÇLAR,12,12
120,ALICILAR,120,120
121,ALACAK SENETLER_,121,121
126,VER_LEN DEPOZ_TO VE TEM_NATLAR,126,126
13,D__ER ALACAKLAR,13,13
131,ORTAKLARDAN ALACAKLAR,131,131
136,D__ER ÇE__TL_ ALACAKLAR,136,136
15,STOKLAR,15,15
150,_LK MADDE VE MALZEME,150,150
151,YARI MAMULLER - ÜRET_M,151,151
152,MAMULLER,152,152
153,T_CAR_ MALLAR,153,153
159,VER_LEN S_PAR__ AVANSLARI,159,159
17,YILLARA YAYGIN _N_AAT VE ONARIM MAL_YETLER_,17,17
179,TA_ERONLARA VER_LEN AVANSLAR,179,179
18,GELECEK AYLARA A_T G_DERLER VE GEL_R TAHAKKUKLARI,18,18
180,GELECEK AYLARA A_T G_DERLER,180,180
181,GEL_R TAHAKKUKLARI,181,181
19,D__ER DAlınan ÇeklerÖNEN VARLIKLAR,19,19
190,DEVREDEN KATMA DE_ER VERG_S_,190,190
191,_ND_R_LECEK KDV,191,191
193,PE__N ÖDENEN VERG_ VE FONLAR,193,193
195,__ AVANSLARI,195,195
2,DURAN VARLIKLAR,2,2
23,D__ER ALACAKLAR,23,23
231,ORTAKLARDAN ALACAKLAR,231,231
25,MADD_ DURAN VARLIKLAR,25,25
250,ARAZ_ VE ARSALAR,250,250
251,YERALTI VE YERÜSTÜ DÜZENLER_,251,251
252,B_NALAR,252,252
253,TES_S MAK_NE VE C_HAZLAR,253,253
254,TA_ITLAR,254,254
255,DEM_RBA_LAR,255,255
257,B_R_KM__ AMORT_SMANLAR (-),257,257
258,YAPILMAKTA OLAN YATIRIMLAR,258,258
259,VER_LEN AVANSLAR,259,259
28,GELECEK YILLARA A_T G_DERLER VE GEL_R TAHAKKUKLARI,28,28
280,GELECEK YILLARA A_T G_DERLER,280,280
281,GEL_R TAAHHUKLARI,281,281
29,GELECEK YILLARDA _ND_R_LECEK KATMA DE_ER VERG_S_,29,29
291,GELECEK YILLARDA _ND_R_LE. KDV,291,291
3,KISA VADEL_ YABANCI KAYNAKLAR,3,3
30,MAL_ BORÇLAR,30,30
300,BANKA KRED_LER_,300,300
32,T_CAR_ BORÇLAR,32,32
320,SATICILAR,320,320
321,BORÇ SENETLER_,321,321
326,ALINAN DEPOZ_TO VE TEM_NATLAR,326,326
33,D__ER BORÇLAR,33,33
331,ORTAKLARA BORÇLAR,331,331
34,ALINAN AVANSLAR,34,34
340,ALINAN S_PAR__ AVANSLARI,340,340
35,YILLARA YAYGIN _N_AAT VE ONARIM HAKED__LER_,35,35
350,YILLARA YAY._N_.ve ONR.HAKED__,350,350
38,GELECEK AYLARA A_T GEL_RLER VE G_DER TAHAKKUKLARI,38,38
380,GELECEK AYLARA A_T GEL_RLER,380,380
381,G_DER TAHAKKUKLARI,381,381
39,D__ER KISA VADEL_ YABANCI KAYNAKLAR,39,39
391,HESAPLANAN KDV,391,391
4,UZUN VADEL_ YABANCI KAYNAKLAR,4,4
40,MAL_ BORÇLAR,40,40
400,BANKA KRED_LER_,400,400
43,D__ER BORÇLAR,43,43
431,ORTAKLARA BORÇLAR,431,431
44,ALINAN AVANSLAR,44,44
440,ALINAN AVANSLAR,440,440
5,ÖZKAYNAKLAR,5,5
50,ÖDENM__ SERMAYE,50,50
500,SERMAYE,500,500
501,ÖDENMEM__ SERMAYE (-),501,501
52,SERMAYE YEDEKLER_,52,52
522,M.D.V.YEN_DEN DE_ERLEME ARTI_.,522,522
54,KAR YEDEKLER_,54,54
540,YASAL YEDEKLER,540,540
541,STATÜ YEDEKLER_,541,541
542,OLA_ANÜSTÜ YEDEKLER,542,542
57,GEÇM__ YILLAR KARLARI,57,57
570,GEÇM__ YILLAR KARLARI,570,570
58,GEÇM__ YILLAR ZARARLARI (-),58,58
580,GEÇM__ YILLAR ZARARLARI,580,580
59,DÖNEM NET KARI (ZARARI),59,59
590,DÖNEM NET KARI,590,590
591,DÖNEM NET ZARARI (-),591,591
6,GEL_R TABLOSU HESAPLARI,6,6
60,BRÜT SATI_LAR,60,60
600,YURT _Ç_ SATI_LAR,600,600
601,YURT DI_I SATI_LAR,601,601
602,D__ER GEL_RLER,602,602
61,SATI_ _ND_R_MLER_ (-),61,61
610,SATI_TAN _ADELER (-),610,610
611,SATI_ _SKONTOLARI (-),611,611
612,D__ER _ND_R_MLER (-),612,612
62,SATI_LARIN MAL_YET_ (-),62,62
620,SATILAN MAMÜLLER MAL_YET_ (-),620,620
621,SATILAN T_C.MALLAR MAL_YET_(-),621,621
622,SATILAN H_ZMET MAL_YET_ (-),622,622
623,D__ER SATI_LARIN MAL_YET_ (-),623,623
63,FAAL_YET G_DERLER_ (-),63,63
630,ARA_TIRMA VE GEL__T_RME G_D(-),630,630
631,PAZARLAMA SAT.VE DA_.G_D. (-),631,631
632,GENEL YÖNET_M G_DERLER_ (-),632,632
64,D__ER FAAL_YETLERDEN OLA_AN GEL_R VE KARLAR,64,64
65,D__ER FAAL_YETLERDEN OLA_AN G_DER VE ZARARLAR (-),65,65
66,F_NANSMAN G_DERLER_ (-),66,66
67,OLA_ANDI_I GEL_R VE KARLAR,67,67
68,OLA_ANDI_I G_DER VE ZARARLAR (-),68,68
69,DÖNEM NET KARI (ZARARI),69,69
7,MAL_YET HESAPLARI,7,7
70,MAL_YET MUHASEBES_ BA_LANTI HESAPLARI,70,70
700,MAL_YET MUHASEBES_ BA_LANTI HS,700,700
701,MAL_YET MUHASEBES_ YANSITMA HS,701,701
71,D_REK _LK MADDE VE MALZEME G_DERLER_,71,71
710,D_REKT _LK MADDE VE MALZEME GD,710,710
711,D_REKT _LK MAD.VE MAL.YANS.FAR,711,711
72,D_REKT __Ç_L_K G_DERLER_,72,72
720,D_REKT __Ç_L_K G_DERLER_,720,720
721,D_REKT __Ç_L_K G_D.YANSIT.HES.,721,721
73,GENEL ÜRET_M G_DERLER_ (-),73,73
730,GENEL ÜRET_M G_DERLER_,730,730
731,GENEL ÜRET_M G_D.YANSITMA HES.,731,731
74,H_ZMET ÜRET_M MAL_YET_,74,74
740,H_ZMET ÜRET_M MAL_YET_,740,740
741,H_ZMET ÜRET_M MAL.YAN.HES.,741,741
75,ARA_TIRMA VE GEL__T_RME G_DERLER_,75,75
750,ARA_TIRMA VE GEL__T_RME G_DER.,750,750
751,ARA_.VE GEL__.G_D.YANS.HESABI,751,751
76,PAZARLAMA SATI_ VE DA_ITIM G_DERLER_,76,76
760,PAZARLAMA SATI_ VE DA_ITIM G_DERLER_,760,760
761,PAZARLAMA SAT.VE DA_.G_D.YANSITMA HS,761,761
77,GENEL YÖNET_M G_DERLER_,77,77
770,GENEL YÖNET_M G_DERLER_,770,770
771,GEN.YÖN.G_D.YANSITMA HESABI,771,771
78,F_NANSMAN G_DERLER_,78,78
